Index,Public Vehicle Number,Status,Vehicle Make,Vehicle Model,Vehicle Model Year,Vehicle Color,Vehicle Fuel Source,Wheelchair Accessible,Company Name,Address,City,State,ZIP Code,Taxi Affiliation,Taxi Medallion License Management ,Record ID
10218,3,INACTIVE,MARTIN,VIS-A-VIS,2015,,Horse,N,ANTIQUE COACH & CARRIAGE CO,1621 W. BERWYN AVE.,CHICAGO,IL,60640,,,3Horse Drawn Carriage
10433,8,INACTIVE,TROYER,VIS-A-VIS,2015,,Horse,N,ANTIQUE COACH & CARRIAGE CO,1621 W. BERWYN AVE.,CHICAGO,IL,60640,,,8Horse Drawn Carriage
10467,13,INACTIVE,MARTIN,VIS-A-VIS,,,Horse,N,CHICAGO HORSE & CARRIAGE LTD,990 N. LAKE SHORE DR.,CHICAGO,IL,60611,,,13Horse Drawn Carriage
11005,14,INACTIVE,SCHROCK,VIS-A-VIS,,,Horse,N,CHICAGO HORSE & CARRIAGE LTD,990 N. LAKE SHORE DR.,CHICAGO,IL,60611,,,14Horse Drawn Carriage
11146,5,INACTIVE,MARTIN,VIS-A-VIS,2015,,Horse,N,ANTIQUE COACH & CARRIAGE CO,1621 W. BERWYN AVE.,CHICAGO,IL,60640,,,5Horse Drawn Carriage
11404,14,INACTIVE,SCHROCK,VIS-A-VIS,,,Horse,N,CHICAGO HORSE & CARRIAGE LTD,990 N. LAKE SHORE DR.,CHICAGO,IL,60611,,,14Horse Drawn Carriage
11713,27,INACTIVE,YODER,COACH,,,Horse,N,COACH HORSE LIVERY LIMITED,1410 N. ORLEANS ST.,CHICAGO,IL,60610,,,27Horse Drawn Carriage
12064,10,INACTIVE,TROYER,VIS-A-VIS,2015,,Horse,N,ANTIQUE COACH & CARRIAGE CO,1621 W. BERWYN AVE.,CHICAGO,IL,60640,,,10Horse Drawn Carriage
12146,23,INACTIVE,MARTIN,VIS-A-VIS,1995,BLACK,Horse,N,GREAT LAKES HORSE AND CARRIAGE LLC,2844 N. HARDING AVE.,CHICAGO,IL,60618,,,23Horse Drawn Carriage
12169,12,INACTIVE,STUDEBAKER,VIS-A-VIS,1991,,Horse,N,ANTIQUE COACH & CARRIAGE CO,1621 W. BERWYN AVE.,CHICAGO,IL,60640,,,12Horse Drawn Carriage
12391,6,INACTIVE,MARTIN,VIS-A-VIS,2015,,Horse,N,ANTIQUE COACH & CARRIAGE CO,1621 W. BERWYN AVE.,CHICAGO,IL,60640,,,6Horse Drawn Carriage
12642,2,INACTIVE,MARTIN,VIS-A-VIS,2015,,Horse,N,ANTIQUE COACH & CARRIAGE CO,1621 W. BERWYN AVE.,CHICAGO,IL,60640,,,2Horse Drawn Carriage
13518,17,INACTIVE,YODER,VIS-A-VIS,,,Horse,N,CHICAGO HORSE & CARRIAGE LTD,990 N. LAKE SHORE DR.,CHICAGO,IL,60611,,,17Horse Drawn Carriage
13543,18,INACTIVE,YODER,VIS-A-VIS,,,Horse,N,CHICAGO HORSE & CARRIAGE LTD,990 N. LAKE SHORE DR.,CHICAGO,IL,60611,,,18Horse Drawn Carriage
13572,9,INACTIVE,TROYER,VIS-A-VIS,2015,,Horse,N,ANTIQUE COACH & CARRIAGE CO,1621 W. BERWYN AVE.,CHICAGO,IL,60640,,,9Horse Drawn Carriage
13855,56,INACTIVE,ANDERSON,VIS-A-VIS,,,Horse,N,ROYAL CARRIAGE LIMITED.,1410 N. ORLEANS ST.,CHICAGO,IL,60610,,,56Horse Drawn Carriage
14326,21,INACTIVE,TROYER,VIS-A-VIS,,,Horse,N,CHICAGO HORSE & CARRIAGE LTD,990 N. LAKE SHORE DR.,CHICAGO,IL,60611,,,21Horse Drawn Carriage
14564,41,INACTIVE,YODER,COACH,,,Horse,N,COACH HORSE LIVERY LIMITED,1410 N. ORLEANS ST.,CHICAGO,IL,60610,,,41Horse Drawn Carriage
14566,36,INACTIVE,SCHWARTZ,COACH,,,Horse,N,COACH HORSE LIVERY LIMITED,1410 N. ORLEANS ST.,CHICAGO,IL,60610,,,36Horse Drawn Carriage
14768,7,INACTIVE,TROYER,VIS-A-VIS,2015,,Horse,N,ANTIQUE COACH & CARRIAGE CO,1621 W. BERWYN AVE.,CHICAGO,IL,60640,,,7Horse Drawn Carriage
15159,10,INACTIVE,TROYER,VIS-A-VIS,2015,,Horse,N,ANTIQUE COACH & CARRIAGE CO,1621 W. BERWYN AVE.,CHICAGO,IL,60640,,,10Horse Drawn Carriage
15351,37,INACTIVE,MILLER,COACH,,,Horse,N,COACH HORSE LIVERY LIMITED,1410 N. ORLEANS ST.,CHICAGO,IL,60610,,,37Horse Drawn Carriage
15431,49,INACTIVE,SCHWARTZ,VIS-A-VIS,2015,BLACK/RED,Horse,N,GREAT LAKES HORSE AND CARRIAGE LLC,2844 N. HARDING AVE.,CHICAGO,IL,60618,,,49Horse Drawn Carriage
15499,4,INACTIVE,MARTIN,VIS-A-VIS,2015,,Horse,N,ANTIQUE COACH & CARRIAGE CO,1621 W. BERWYN AVE.,CHICAGO,IL,60640,,,4Horse Drawn Carriage
15501,0,INACTIVE,MARTIN,VIS-A-VIS,2010,GREEN,Horse,N,GREAT LAKES HORSE AND CARRIAGE LLC,2844 N. HARDING AVE.,CHICAGO,IL,60618,,,0Horse Drawn Carriage
15769,60,INACTIVE,MARTIN,VIS-A-VIS,,,Horse,N,"STEP-IN-TIME CARRIAGE, LTD",1541 N. WELLS ST.,CHICAGO,IL,60610,,,60Horse Drawn Carriage
