Index,Public Vehicle Number,Status,Vehicle Make,Vehicle Model,Vehicle Model Year,Vehicle Color,Vehicle Fuel Source,Wheelchair Accessible,Company Name,Address,City,State,ZIP Code,Taxi Affiliation,Taxi Medallion License Management ,Record ID
10820,20603,INACTIVE,GILLIG,TRANSIT,2015,MAROON,Diesel,N,CHICAGO GRAY LINE LTD,630 W. 41ST ST.,CHICAGO,IL,60609,,,20603Charter Sightseeing
11018,23327,INACTIVE,,,2006,YELLOW/BLUE,Diesel,N,CHICAGO GRAY LINE LTD,630 W. 41ST ST.,CHICAGO,IL,60609,,,23327Charter Sightseeing
11089,17871,INACTIVE,FREIGHLINE,TROLLEY,2002,BURGUNDY,Diesel,N,CHICAGO GRAY LINE LTD,630 W. 41ST ST.,CHICAGO,IL,60609,,,17871Charter Sightseeing
11097,19769,INACTIVE,FREIGHTLINER,TROLLEY,2002,RED/GREEN,Diesel,N,SCT USA INC,4455 N. KNOX AVE.,CHICAGO,IL,60630,,,19769Charter Sightseeing
11395,18262,INACTIVE,DOUBLE SHUFLE,TROLLEY,2004,RED,Diesel,N,SCT USA INC,4455 N. KNOX AVE.,CHICAGO,IL,60630,,,18262Charter Sightseeing
11441,13009,INACTIVE,FREIGHLINE,M2 106,2016,BLACK,Diesel,N,JKS LIMOUSINES LLC.,120 W. MADISON ST.,CHICAGO,IL,60602,,,13009Charter Sightseeing
11499,14071,INACTIVE,FREIGHTLINER,G40M2,2015,WHITE,Diesel,N,"K I S, INC.",2739 W. SUMMERDALE AVE.,CHICAGO,IL,60625,,,14071Charter Sightseeing
11566,1000006,INACTIVE,CHAMPION,TROLLEY,2001,RED,Diesel,N,SCT USA INC,4455 N. KNOX AVE.,CHICAGO,IL,60630,,,1000006Charter Sightseeing
11654,19626,INACTIVE,ALEXDER DENNIS LTD,E400H,2014,BURGUNDY,Diesel,N,CHICAGO GRAY LINE LTD,630 W. 41ST ST.,CHICAGO,IL,60609,,,19626Charter Sightseeing
11712,17869,INACTIVE,FREIGHLINE,TROLLEY,1998,BURGUNDY,Diesel,N,CHICAGO GRAY LINE LTD,630 W. 41ST ST.,CHICAGO,IL,60609,,,17869Charter Sightseeing
11797,14356,INACTIVE,CHAMPION,TROLLEY,1999,RED,Diesel,N,SCT USA INC,4455 N. KNOX AVE.,CHICAGO,IL,60630,,,14356Charter Sightseeing
